User ID,Sample ID,Date Created,Date changed,Group ID,Site name,Geolocation (Latitude | Longitude),Freshwater body type,What is the land use in the immediate surroundings?,Is the algae...,Estimate the water flow,Estimate the water level,Nitrate,Phosphate,Water Quality – Secchi Tube (Turbidity).,Enter result,Estimate the water colour,Other
19745,54786,07/05/2019 12:37,07/05/2019 12:37,Thames Blitz | Group ID: 34343,Black Bourton Brook,51.73283958095897 | -1.5900131852324648,Stream,Other,-,-,-,7.5,0.01,-,-,Colourless,-
25886,54666,06/05/2019 16:36,06/05/2019 16:37,Thames Blitz | Group ID: 34343,Letcombe Brook 5,51.636692 | -1.399132,River,Other,-,-,-,12,0.15,-,-,Colourless,-
25886,54671,06/05/2019 16:58,06/05/2019 16:58,Thames Blitz | Group ID: 34343,Letcombe Brook 4,51.633431 | -1.4401791,River,Other,-,-,-,12,0.15,-,-,Colourless,-
25886,54661,06/05/2019 16:31,06/05/2019 16:31,Thames Blitz | Group ID: 34343,Letcombe Brook 3,51.63178 | -1.404684,River,Other,-,-,-,12,0.15,-,-,Colourless,-
25886,54656,06/05/2019 16:27,06/05/2019 16:27,Thames Blitz | Group ID: 34343,Letcombe Brook 2,51.629987 | -1.406059,River,Agriculture,-,-,-,12,0.15,-,-,Colourless,-
25886,54651,06/05/2019 16:19,06/05/2019 16:20,Thames Blitz | Group ID: 34343,Letcombe Brook 1,51.627327 | -1.408163,River,Other,-,-,-,12,0.075,-,-,Colourless,-
22654,54521,04/05/2019 07:46,04/05/2019 07:46,Thames Blitz | Group ID: 34343,Baker Street | Aston Tirrold,51.57119138281877 | -1.200936079901112,Stream,Urban Residential,-,-,-,7.5,0.01,-,-,Colourless,-
22654,54516,04/05/2019 07:42,04/05/2019 07:42,Thames Blitz | Group ID: 34343,Aston Street | Aston Tirrold,51.572502698859914 | -1.1959563698669626,Stream,Urban Residential,-,-,-,7.5,0.01,-,-,Colourless,-
18009,54461,03/05/2019 15:53,03/05/2019 15:53,Thames Blitz | Group ID: 34343,Tringford Reservoir,51.812330840718644 | -0.6703682247218694,Other,Grassland/shrub,-,-,-,0.75,0.035,-,-,Colourless,-
18009,54456,03/05/2019 15:48,03/05/2019 15:48,Thames Blitz | Group ID: 34343,Marsworth Reservoir,51.816327394066185 | -0.6644327926396727,Other,Grassland/shrub,-,-,-,0.1,0.035,-,-,Colourless,-
